,Time,Comparisons,Exchanges
Merge,60583,9782,0
Merge,58083,9772,0
Merge,58792,9797,0
Merge,58667,9774,0
Merge,60125,9785,0
Merge,2730334,9793,0
Merge,188250,9783,0
Merge,126958,9790,0
Merge,123208,9780,0
Merge,76542,9773,0
Merge,62417,9773,0
Merge,61708,9779,0
Merge,58375,9792,0
Merge,58250,9794,0
Merge,193250,9793,0
Merge,203541,9791,0
Merge,141833,9795,0
Merge,160208,9788,0
Merge,401333,9780,0
Merge,208459,9779,0
Merge,151291,9772,0
Merge,136750,9773,0
Merge,285250,9778,0
Merge,133666,9779,0
Merge,77875,9778,0
Merge,73125,9794,0
Merge,77458,9786,0
Merge,63958,9768,0
,,,
,,,
,,,
arr size: 512,,,
Insertion,118000,131839,129036
Insertion,79708,131839,126888
Insertion,80792,131839,134764
Insertion,79042,131839,123658
Insertion,79750,131839,130880
Insertion,196542,131839,133386
Insertion,190167,131839,131968
Insertion,473625,131839,127474
Insertion,159333,131839,132620
Insertion,159958,131839,131904
Insertion,168000,131839,127814
Insertion,172750,131839,130670
Insertion,231875,131839,134908
Insertion,504584,131839,133014
Insertion,81333,131839,134640
Insertion,80625,131839,135218
Insertion,79375,131839,129794
Insertion,78042,131839,124272
Insertion,80000,131839,134308
Insertion,78875,131839,128040
Insertion,78750,131839,128416
Insertion,79125,131839,129418
Insertion,79042,131839,129696
Insertion,78917,131839,129704
Insertion,79084,131839,129224
Insertion,81292,131839,131846
Insertion,79042,131839,129478
Insertion,79708,131839,133352
Insertion,79125,131839,130696
Insertion,79167,131839,129288
Insertion,171166,131839,130778
Insertion,501875,131839,135170
Insertion,79625,131839,132690
Insertion,186833,131839,133266
Insertion,79875,131839,133380
Insertion,79500,131839,132508
Insertion,187167,131839,130618
Insertion,115833,131839,125862
Insertion,80500,131839,130446
Insertion,96459,131839,131560
Insertion,79125,131839,128624
Insertion,81000,131839,130542
Insertion,79042,131839,127518
Insertion,78625,131839,125656
Insertion,79875,131839,133440
Insertion,79625,131839,131416
Insertion,78708,131839,127736
Insertion,78333,131839,126248
Insertion,78709,131839,125698
Insertion,79542,131839,131460
Insertion,78666,131839,127878
Insertion,81375,131839,134040
Insertion,79083,131839,129820
Insertion,79958,131839,131532
Insertion,79708,131839,130702
Insertion,81208,131839,127514
Insertion,696917,131839,126720
Insertion,80042,131839,128226
Insertion,79666,131839,131826
Insertion,80291,131839,135132
Insertion,80000,131839,134704
Insertion,79208,131839,130638
Insertion,80000,131839,134316
Insertion,78083,131839,125476
Insertion,266792,131839,128212
Insertion,192125,131839,131468
Insertion,163250,131839,133474
Insertion,157667,131839,129588
Insertion,154875,131839,124484
Insertion,125750,131839,131190
Insertion,80208,131839,133432
Insertion,79458,131839,130890
Insertion,83917,131839,131472
Insertion,79417,131839,132102
Insertion,78625,131839,127508
Insertion,78875,131839,129500
Insertion,81750,131839,133560
Insertion,79417,131839,129414
Insertion,78667,131839,127158
Insertion,78584,131839,124758
Insertion,80250,131839,131836
Insertion,81000,131839,126068
Insertion,79583,131839,128184
Insertion,81000,131839,134022
Insertion,78666,131839,124858
Insertion,78791,131839,130030
Insertion,78708,131839,128194
Insertion,79916,131839,134000
Insertion,79042,131839,130436
Insertion,79542,131839,130022
Insertion,78542,131839,127652
Insertion,78459,131839,125764
Insertion,80000,131839,132484
Insertion,78917,131839,127854
Insertion,79584,131839,129578
Insertion,79250,131839,128916
Insertion,80750,131839,128508
Insertion,78583,131839,127084
Insertion,102292,131839,134270
Insertion,80125,131839,134342
,,,
,,,
Quick,33542,15700,2072
Quick,29750,14856,2054
Quick,31208,15744,1982
Quick,30125,15133,2088
Quick,89375,15973,1942
Quick,34750,15211,2094
Quick,31000,15167,2072
Quick,29917,15361,2016
Quick,56417,15644,2046
Quick,31709,17743,2044
Quick,30375,15121,2040
Quick,39916,15745,2016
Quick,29875,15428,2070
Quick,30250,16534,2000
Quick,30250,15805,2014
Quick,73417,15975,2036
Quick,78125,15154,2114
Quick,71166,16946,2018
Quick,85541,15966,2072
Quick,36750,15944,2034
Quick,30750,15574,2046
Quick,32042,18208,1956
Quick,30833,14812,2070
Quick,30209,16440,2054
Quick,30166,16084,2064
Quick,30042,15470,2050
Quick,29917,15158,2106
Quick,29167,15668,2028
Quick,29750,15428,2072
Quick,29208,15259,2040
Quick,29917,15571,2056
Quick,68958,15606,2052
Quick,33250,15822,2054
Quick,108125,15443,2082
Quick,87041,15462,2042
Quick,220083,16283,2032
Quick,32417,14965,2072
Quick,31542,16101,2056
Quick,31083,16223,2076
Quick,54375,16119,2076
Quick,73041,16320,1994
Quick,68916,15765,2050
Quick,99417,16340,2006
Quick,29459,15483,2062
Quick,30459,16477,2006
Quick,31209,16699,2038
Quick,29750,15012,2062
Quick,28792,15393,2052
Quick,50209,15691,2008
Quick,28791,15064,2034
Quick,29750,16164,2024
Quick,30208,15837,2068
Quick,29542,15712,2046
Quick,28500,15297,2026
Quick,29500,15749,1976
Quick,29292,15518,2056
Quick,29208,15017,2016
Quick,31875,16402,2034
Quick,65625,15386,2032
Quick,29625,15450,2080
Quick,42667,16231,2100
Quick,29834,16596,1996
Quick,29541,15495,2050
Quick,29125,15145,2062
Quick,32917,15289,2068
Quick,30167,15215,2080
Quick,52667,15156,2052
Quick,97833,16891,1992
Quick,106458,16354,2010
Quick,68083,15853,1984
Quick,31458,15877,2098
Quick,29834,15940,1992
Quick,30083,15468,2010
Quick,29583,15813,2014
